Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
LEGO 2K Drive,2023,Action,Behind view,Windows,,80% (2),"2K Games, Inc.","2K Games, Inc.",0.0,1.0,Sandbox / open world
No Crime,2023,Adventure,Side view,Windows,,,,,0.0,1.0,2D scrolling
Greedventory,2023,Role-playing (RPG),Side view,Windows,,,Black Tower Basement,Black Tower Basement,0.0,1.0,2D scrolling
Ghostlore,2023,Role-playing (RPG),Diagonal-down,Windows,,,,,0.0,1.0,2D scrolling
Rule the Waves 3,2023,Simulation,Diagonal-down,Windows,,,Naval Warfare Simulations,Naval Warfare Simulations,0.0,1.0,Free-roaming camera
Bus-Simulator 16: Gold Edition,2018,Compilation,,Windows,,,astragon Entertainment GmbH,astragon Entertainment GmbH,0.0,1.0,
Galcon,2008,Action,Top-down,Browser,,(1),Imitation Pickles,Imitation Pickles,0.0,1.0,Arcade
Proliferation,1995,Strategy,Top-down,Windows 3.x,,3 players,,,0.0,1.0,Managerial / business simulation
Boundless Planet,2006,Strategy,Top-down,Windows,,(2),,,0.0,1.0,"Persistent, Real-time"
Boso View Express,1996,Racing / Driving,1st-person,Windows,,(3),,,0.0,1.0,
ChesseR,2003,Strategy,Board game,Windows,,2 players,Ponder Labs,Ponder Labs,0.0,1.0,
MAD: Global Thermonuclear War,2001,Action,Real-time,Windows,,64% (3),Small Rockets,Small Rockets,0.0,1.0,Sci-fi / futuristic
Onslaught,2001,Action,Top-down,Windows,,3 players,Addictive 247,Addictive 247,0.0,1.0,"Arcade, Shooter"
Backgammon Deluxe,1997,Strategy,Top-down,Windows 3.x,,(1),AGCrump Software,AGCrump Software,0.0,1.0,Board game
Smuc's,2001,Action,Top-down,Windows,,2 players,Addictive 247,Addictive 247,0.0,1.0,"Arcade, Paddle / Pong"
Simple RPG,2010,Role-playing (RPG),Fantasy,iPhone,,2 players,Soulteam,Soulteam,0.0,1.0,
Froggee,1982,Action,Top-down,Commodore 64,,(2),Commercial Data Systems Ltd.,Commercial Data Systems Ltd.,0.0,1.0,Arcade
N-Vaders,1983,Action,Arcade,Mattel Aquarius,,1 players,Add-On Electronics Ltd.,Add-On Electronics Ltd.,0.0,1.0,Sci-fi / futuristic
Conflict: Middle East Political Simulator,2009,Strategy,Turn-based,Windows,,2 players,,,0.0,1.0,Managerial / business simulation
A Quest For Idle,2009,Role-playing (RPG),Managerial / business simulation,Browser,,(2),,,0.0,1.0,Fantasy
Space Raiders and the Planet of Doom,2011,Adventure,Interactive fiction / text adventure,iPhone,,1 players,"Daveworld, Inc.","Daveworld, Inc.",0.0,1.0,Sci-fi / futuristic
Starship Warrior,2011,Adventure,Interactive fiction / text adventure,iPhone,,1 players,"Daveworld, Inc.","Daveworld, Inc.",0.0,1.0,Sci-fi / futuristic
Nightmare Planet,2011,Adventure,Interactive fiction / text adventure,iPhone,,1 players,"Daveworld, Inc.","Daveworld, Inc.",0.0,1.0,Sci-fi / futuristic
Mind Bandits,2011,Adventure,Interactive fiction / text adventure,iPhone,,1 players,"Daveworld, Inc.","Daveworld, Inc.",0.0,1.0,Sci-fi / futuristic
Monster Express,2011,Adventure,Interactive fiction / text adventure,iPhone,,1 players,"Daveworld, Inc.","Daveworld, Inc.",0.0,1.0,Sci-fi / futuristic
iBomber Defense Bundle,2012,Compilation,,Windows,,(2),Chillingo Ltd,Chillingo Ltd,0.0,1.0,
Fallen From the Moon,2010,Adventure,Puzzle elements,Browser,,(1),Gamystar,Gamystar,0.0,1.0,
BogOut,1992,Strategy,Top-down,Windows 3.x,,(1),,,0.0,1.0,Board game
The Key 1: Flight From Arcadia,2001,Adventure,1st-person,Windows,,82% (2),,,0.0,1.0,Puzzle elements
Real Video Poker,1994,Action,Cards / tiles,Windows 3.x,,(1),Ultimate Software Inc.,Ultimate Software Inc.,0.0,1.0,
Ormet kruper!!!,1989,Action,Top-down,Amiga,,1 players,Abris Data HB,Abris Data HB,0.0,1.0,Arcade
Omoide ni Kawaru Kimi: Memories Off,2008,Adventure,1st-person,PSP,,1 players,5pb. Inc.,5pb. Inc.,0.0,1.0,Anime / Manga
Net Gin Rummy,2003,Strategy,Top-down,Windows,,(1),NetIntellGames,NetIntellGames,0.0,1.0,Cards / tiles
Edgeworld,2011,Strategy,Isometric,Browser,,1 players,"Kabam, Inc.","Kabam, Inc.",0.0,1.0,Real-time
Warlock: Master of the Arcane - Power of the Serpe...,2012,DLC / Add-on,Isometric,Windows,,(1),Ino-Co Plus OOO,Ino-Co Plus OOO,0.0,1.0,Turn-based
Unpleasant Horse,2011,Action,Side view,iPhone,,80% (1),"PopCap Games, Inc.","PopCap Games, Inc.",0.0,1.0,"Arcade, Platform"
That Seagull Stole My Chips!,2010,Action,1st-person,Xbox 360,,,,,0.0,1.0,Shooter
Shitsuji ga Aruji o Erabu Toki,2016,Adventure,1st-person,PS Vita,,,PeasSoft,PeasSoft,0.0,1.0,Anime / Manga
Mystery Case Files: Ravenhearst (Gold Edition),2010,Compilation,,Windows,,(1),,,0.0,1.0,
Aveyond: Gates of Night - Voice Pack,2009,DLC / Add-on,Other,Windows,,,,,0.0,1.0,
Aveyond: Lord of Twilight - Voice Pack,2009,DLC / Add-on,Other,Windows,,,,,0.0,1.0,
Final Fantasy XIII-2: Noel's Outfit - N7 Armor,2012,DLC / Add-on,Customization / outfit / skin,PlayStation 3,,1 players,"Square Enix Co., Ltd., Square Enix Limited","Square Enix Co., Ltd.",0.0,1.0,
Xenoblade Chronicles X: Basic High-Speed Data Load...,2015,DLC / Add-on,Other,Wii U,,(1),,,0.0,1.0,
Xenoblade Chronicles X: Enemy High-Speed Data Load...,2015,DLC / Add-on,Other,Wii U,,(1),,,0.0,1.0,
Xenoblade Chronicles X: Skell High-Speed Data Load...,2015,DLC / Add-on,Other,Wii U,,(1),,,0.0,1.0,
Animal Crossing: Happy Home Designer - Louie,2015,DLC / Add-on,Item,Nintendo 3DS,,,,,0.0,1.0,
Dōbutsu no Mori: Happy Home Designer - 7-gō,2015,DLC / Add-on,Item,Nintendo 3DS,,,,,0.0,1.0,Licensed
Ar nosurge: Ode to an Unborn Star - Geno Pack [Shi...,2014,DLC / Add-on,Story / mission,PlayStation 3,,,,,0.0,1.0,
Ar nosurge: Ode to an Unborn Star - Misogi Expansi...,2014,DLC / Add-on,Other,PlayStation 3,,,,,0.0,1.0,
Ar nosurge: Ode to an Unborn Star - Misogi Expansi...,2014,DLC / Add-on,Other,PlayStation 3,,,,,0.0,1.0,
Fire Emblem Fates: Xenologue - Before Awakening,2016,DLC / Add-on,Item,Nintendo 3DS,,1 players,,,0.0,1.0,
Kono Aozora ni Yakusoku wo,2015,Adventure,1st-person,PS Vita,,,GIGA,GIGA,0.0,1.0,Anime / Manga
Selfie: Sisters of the Amniotic Lens,2015,Action,1st-person,Windows,,(2),Rail Slave Games,Rail Slave Games,0.0,1.0,"Meditative / Zen, Persistent"
Dead or Alive 5: Last Round - Ayane School Uniform,2015,DLC / Add-on,Customization / outfit / skin,PlayStation 4,,,Koei Tecmo America Corp.,Koei Tecmo America Corp.,0.0,1.0,
Dead or Alive 5: Last Round - Gym Class Lisa,2015,DLC / Add-on,Customization / outfit / skin,PlayStation 4,,,Koei Tecmo America Corp.,Koei Tecmo America Corp.,0.0,1.0,
Dead or Alive 5: Last Round - Gym Class Mila,2015,DLC / Add-on,Customization / outfit / skin,PlayStation 4,,,Koei Tecmo America Corp.,Koei Tecmo America Corp.,0.0,1.0,
Dead or Alive 5: Last Round - Mila School Uniform,2015,DLC / Add-on,Customization / outfit / skin,PlayStation 4,,,Koei Tecmo America Corp.,Koei Tecmo America Corp.,0.0,1.0,
Dead or Alive 5: Last Round - Rachel School Unifor...,2015,DLC / Add-on,Customization / outfit / skin,PlayStation 4,,,Koei Tecmo America Corp.,Koei Tecmo America Corp.,0.0,1.0,
Dead or Alive 5: Last Round - Ultimate Sexy Kokoro,2015,DLC / Add-on,Customization / outfit / skin,PlayStation 4,,,Koei Tecmo America Corp.,Koei Tecmo America Corp.,0.0,1.0,
Dead or Alive 5: Last Round - Ultimate Sexy Mila,2015,DLC / Add-on,Customization / outfit / skin,PlayStation 4,,,Koei Tecmo America Corp.,Koei Tecmo America Corp.,0.0,1.0,
Zombie Parkour Runner,2011,Action,Side view,iPhone,,1 players,Break Media,Break Media,0.0,1.0,2D scrolling
Hōma Hunter Lime Dai-10 Wa,1994,Adventure,Anime / Manga,PC-98,,(3),"Brother Industries, Ltd.","Brother Industries, Ltd.",0.0,1.0,Visual novel
Hōma Hunter Lime Dai-9 Wa,1994,Adventure,Anime / Manga,PC-98,,(3),"Brother Industries, Ltd.","Brother Industries, Ltd.",0.0,1.0,Visual novel
Hōma Hunter Lime Dai-7 Wa,1993,Adventure,Anime / Manga,PC-98,,(3),"Brother Industries, Ltd.","Brother Industries, Ltd.",0.0,1.0,Visual novel
Hōma Hunter Lime Dai-6 Wa,1993,Adventure,Anime / Manga,PC-98,,(3),"Brother Industries, Ltd.","Brother Industries, Ltd.",0.0,1.0,Visual novel
Hōma Hunter Lime Dai-5 Wa,1993,Adventure,Anime / Manga,PC-98,,(3),"Brother Industries, Ltd.","Brother Industries, Ltd.",0.0,1.0,Visual novel
Hōma Hunter Lime Dai-4 Wa,1993,Adventure,Anime / Manga,PC-98,,(3),"Brother Industries, Ltd.","Brother Industries, Ltd.",0.0,1.0,Visual novel
Hōma Hunter Lime Dai-3 Wa,1993,Adventure,Anime / Manga,PC-98,,(3),"Brother Industries, Ltd.","Brother Industries, Ltd.",0.0,1.0,Visual novel
Marshmallow Duel,1997,Action,Fighting,DOS,,(4),,,0.0,1.0,
RunAway,2009,Action,Side view,Browser,,,Devsisters Corporation,Devsisters Corporation,0.0,1.0,2D scrolling
Alice Trapped in Wonderland,2013,Adventure,1st-person,iPhone,,(1),MediaCity Games,MediaCity Games,0.0,1.0,Puzzle elements
Animal Crossing: Happy Home Designer - Filly,2015,DLC / Add-on,Item,Nintendo 3DS,,,,,0.0,1.0,
Goal II,1992,Sports,Football (European) / Soccer,DOS,,3 players,New Era Software,New Era Software,0.0,1.0,
Dead or Alive 5: Last Round - Gym Class Tina,2015,DLC / Add-on,Customization / outfit / skin,PlayStation 4,,,Koei Tecmo America Corp.,Koei Tecmo America Corp.,0.0,1.0,
Dead Horde,2011,Action,Top-down,Windows,,40% (1),DnS Development,DnS Development,0.0,1.0,"Shooter, Survival horror"
Smash Controller,2015,DLC / Add-on,Other,Nintendo 3DS,,1 players,,,0.0,1.0,
